count_title_uni,count_unique_title_uni,ratio_of_unique_title_uni,count_title_bi,count_unique_title_bi,ratio_of_unique_title_bi,count_title_tri,count_unique_title_tri,ratio_of_unique_title_tri,count_body_uni,count_unique_body_uni,ratio_of_unique_body_uni,count_body_bi,count_unique_body_bi,ratio_of_unique_body_bi,count_body_tri,count_unique_body_tri,ratio_of_unique_body_tri,count_of_title_uni_in_body,ratio_of_title_uni_in_body,count_of_title_bi_in_body,ratio_of_title_bi_in_body,count_of_title_tri_in_body,ratio_of_title_tri_in_body,len_sent_title,len_sent_body,label
6,6,1.0,6,6,1.0,6,6,1.0,104,91,0.875,138,106,0.7681159420289855,104,91,0.875,5.0,0.8333333333333334,6.0,1.0,5.0,0.8333333333333334,54,1465,fake
7,7,1.0,7,7,1.0,7,7,1.0,245,164,0.6693877551020408,337,149,0.4421364985163205,245,164,0.6693877551020408,4.0,0.5714285714285714,6.0,0.8571428571428571,4.0,0.5714285714285714,63,2992,fake
7,7,1.0,8,8,1.0,7,7,1.0,118,102,0.864406779661017,156,115,0.7371794871794872,118,102,0.864406779661017,2.0,0.2857142857142857,4.0,0.5,2.0,0.2857142857142857,76,1803,fake
9,9,1.0,10,10,1.0,9,9,1.0,101,90,0.8910891089108911,141,108,0.7659574468085106,101,90,0.8910891089108911,7.0,0.7777777777777778,10.0,1.0,7.0,0.7777777777777778,91,1461,fake
8,8,1.0,9,9,1.0,8,8,1.0,277,201,0.7256317689530686,357,210,0.5882352941176471,277,201,0.7256317689530686,4.0,0.5,7.0,0.7777777777777778,4.0,0.5,84,3714,fake
4,4,1.0,5,5,1.0,4,4,1.0,72,67,0.9305555555555556,88,77,0.875,72,67,0.9305555555555556,2.0,0.5,5.0,1.0,2.0,0.5,48,1000,fake
2,2,1.0,2,2,1.0,2,2,1.0,4,4,1.0,4,4,1.0,4,4,1.0,2.0,1.0,2.0,1.0,2.0,1.0,12,36,fake
6,6,1.0,6,6,1.0,6,6,1.0,163,145,0.8895705521472392,233,167,0.7167381974248928,163,145,0.8895705521472392,3.0,0.5,5.0,0.8333333333333334,3.0,0.5,62,2591,fake
7,7,1.0,9,9,1.0,7,7,1.0,136,121,0.8897058823529411,178,142,0.797752808988764,136,121,0.8897058823529411,6.0,0.8571428571428571,8.0,0.8888888888888888,6.0,0.8571428571428571,72,1810,fake
7,7,1.0,8,8,1.0,7,7,1.0,387,296,0.7648578811369509,459,287,0.6252723311546841,387,296,0.7648578811369509,0.0,0.0,0.0,0.0,0.0,0.0,84,4901,fake
6,6,1.0,7,7,1.0,6,6,1.0,114,92,0.8070175438596491,151,91,0.6026490066225165,114,92,0.8070175438596491,3.0,0.5,4.0,0.5714285714285714,3.0,0.5,59,1702,fake
