title_compound,title_neg,title_neu,title_pos,label
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.29915,0.0,0.8215,0.1785,fake
-0.29915,0.3305,0.6695,0.0,fake
-0.296,0.136,0.864,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.8941,0.518,0.482,0.0,fake
-0.5719,0.209,0.791,0.0,fake
0.2263,0.0,0.787,0.213,fake
0.1779,0.164,0.629,0.208,fake
-0.4019,0.213,0.787,0.0,fake
0.0,0.0,1.0,0.0,fake
0.4767,0.0,0.807,0.193,fake
-0.4939,0.158,0.842,0.0,fake
-0.743,0.474,0.526,0.0,fake
0.4767,0.0,0.829,0.171,fake
-0.0258,0.277,0.452,0.271,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.148,0.0,0.7885,0.2115,fake
-0.9042,0.703,0.297,0.0,fake
-0.34,0.194,0.806,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.128,0.0,0.88,0.12,fake
0.0,0.0,1.0,0.0,fake
0.2732,0.0,0.861,0.139,fake
-0.765,0.424,0.506,0.07,fake
-0.6486,0.323,0.677,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.8176,0.349,0.651,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.6705,0.333,0.667,0.0,fake
0.3612,0.0,0.737,0.263,fake
0.0,0.0,1.0,0.0,fake
0.7698,0.0,0.438,0.562,fake
0.0,0.0,1.0,0.0,fake
-0.1759,0.133,0.867,0.0,fake
-0.3612,0.143,0.779,0.078,fake
0.4417,0.0,0.8400000000000001,0.16,fake
0.4767,0.0,0.78,0.22,fake
0.0,0.0,1.0,0.0,fake
-0.34,0.286,0.714,0.0,fake
-0.128,0.121,0.788,0.091,fake
0.0,0.0,1.0,0.0,fake
-0.34,0.179,0.821,0.0,fake
-0.6222,0.369,0.531,0.1,fake
0.34,0.0,0.87,0.13,fake
0.0,0.0,1.0,0.0,fake
-0.5574,0.31,0.69,0.0,fake
-0.296,0.216,0.784,0.0,fake
-0.7184,0.429,0.571,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.5994,0.274,0.726,0.0,fake
0.0,0.0,1.0,0.0,fake
0.3182,0.126,0.662,0.212,fake
-0.6486,0.346,0.654,0.0,fake
-0.5473,0.205,0.693,0.102,fake
-0.4939,0.282,0.577,0.141,fake
0.0,0.0,1.0,0.0,fake
0.3182,0.0,0.753,0.247,fake
0.42955,0.039,0.747,0.214,fake
0.8481,0.0,0.423,0.577,fake
-0.4404,0.146,0.854,0.0,fake
0.6486,0.078,0.692,0.231,fake
0.5093,0.147,0.531,0.322,fake
0.0,0.0,1.0,0.0,fake
-0.25,0.222,0.778,0.0,fake
-0.4767,0.256,0.744,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.4404,0.218,0.782,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.0772,0.19,0.634,0.176,fake
-0.8402,0.333,0.667,0.0,fake
-0.4767,0.756,0.244,0.0,fake
-0.4767,0.437,0.563,0.0,fake
0.3089,0.0,0.799,0.201,fake
-0.4767,0.256,0.744,0.0,fake
-0.6597,0.375,0.625,0.0,fake
0.296,0.0,0.804,0.196,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.7579,0.619,0.381,0.0,fake
0.0,0.0,1.0,0.0,fake
0.1695,0.0,0.808,0.192,fake
0.0,0.0,1.0,0.0,fake
-0.7717,0.456,0.544,0.0,fake
-0.128,0.089,0.836,0.076,fake
-0.0772,0.24,0.543,0.217,fake
0.0,0.0,1.0,0.0,fake
-0.802,0.423,0.495,0.082,fake
0.0,0.0,1.0,0.0,fake
0.4767,0.093,0.683,0.224,fake
-0.6486,0.323,0.677,0.0,fake
0.0,0.0,1.0,0.0,fake
-0.7184,0.286,0.714,0.0,fake
-0.128,0.12,0.88,0.0,fake
-0.6908,0.343,0.657,0.0,fake
0.0,0.0,1.0,0.0,fake
0.0,0.0,1.0,0.0,fake
